text,label
bạn thích ăn đồ chay hay mặn,else
shop có giảm giá khi pay online không,terms
áo sơ mi nam trắng họa tiết giá bao nhiêu,product
mình nên mua sách gì để đọc,else
cửa hàng có gần công ty không,store_info
áo thun bé gái H&M hồng pastel giá bao nhiêu,product
mình nên học gì cho tương lai,else
áo thun nam adidas xanh đậm giá bao nhiêu,product
cửa hàng có hỗ trợ giao hàng qua lazada không,store_info
Quần tây nam Hugo Boss đen có size XL không,product
áo thun bé trai navy còn stock không,product
sản phẩm áo polo nam đen còn available không shop,product
bạn thích ăn đồ chiên hay đồ luộc,else
cửa hàng có gần trung tâm văn hóa hok,store_info
Chính sách bảo mật thông tin ra sao,terms
Hôm nay mình nên wear gì cho trendy,else
bạn biết cách làm bánh flan caramel không,else
Quần jogger Adidas xám still hàng không,product
áo sơ mi H&M bé trai xanh còn size M không,product
Hàng lỗi có được đổi qua Instagram không,terms
Đổi hàng có cần mang theo giấy mua không,terms
bạn know cách làm đồ uống sinh tố không,else
Chào shop có gần ngân hàng Vietcombank không,store_info
Áo khoác nữ H&M đỏ đô còn size S không,product
cửa hàng có gần thư viện hok,store_info
áo trễ vai hoa nữ bao nhiêu tiền,product
cửa hàng có hỗ trợ giao hàng qua Giao Hàng Tiết Kiệm không,store_info
hôm nay đi đâu cho gần mà vui,else
mình nên làm gì để relax sau giờ làm,else
ship hàng có giao cuối tuần hok,terms
Hôm nay mình nên eat gì cho cheap,else
quần tây nam có màu trắng hok,product
đổi hàng có cần giữ hộp hok,terms
Shop có bán áo thun Puma nữ trắng size M không,product
mèo nhà mình kêu nhiều quá làm sao,else
Quần jogger Adidas nam đen còn size S không,product
instagram cửa hàng là gì vậy,store_info
Cửa hàng có bán đồ phong cách năng động không,store_info
Tôi muốn mua áo thun Nike nam trắng size L,product
Shop có bán váy bé gái Carter’s xanh size L không,product
Mua hàng có được miễn phí vận chuyển không,terms
quần jean Levi’s bé đen còn hàng không bro,product
mua hàng có được giảm giá thêm hok,terms
sản phẩm áo sơ mi nữ xanh nhạt còn hàng không shop,product
Tôi muốn mua áo thun Nike nam hồng size S,product
bạn có biết cách làm trà đào không,else
bảo hành bao lâu zậy,terms
Áo polo Lacoste nam trắng còn size XL không,product
Chính sách hoàn tiền xử lý trong bao lâu,terms
bạn biết cách làm đồ ăn vặt không,else
bạn có biết cách làm đồ trang sức không,else
mình học vẽ ở đâu thì xịn,else
Chào shop có gần siêu thị Vincom không,store_info
Ship qua GrabExpress có fast không shop,terms
bạn có biết cách làm đồ uống cà phê không,else
how to làm đồ trang trí sinh nhật,else
cửa hàng có bán đồ giá rẻ hok,store_info
Quần palazzo nữ Zara đen trắng có dây đai không,product
làm sao để lấy free ship cho đơn nhỏ shop,terms
quần jean bé xanh đậm còn stock không,product
bạn biết cách làm đồ handmade hok,else
áo polo nam Ralph Lauren trắng giá bao nhiêu,product
áo thun nữ cổ tim xám giá bao nhiêu,product
bạn có biết cách làm bánh cupcake không,else
bạn thích ăn pizza hay hamburger,else
How to đổi hàng nếu không đúng mô tả shop,terms
shop có bán áo sơ mi nữ hồng size xl không,product
mình nên tập thể dục lúc nào,else
hi shop có bán đồ phong cách tối giản không,store_info
Mình nên wear gì để cool hôm nay,else
quần âu nam xám còn stock không bro,product
áo khoác nữ xanh còn stock không,product
How to đổi hàng nếu không fit shop,terms
shop có bán áo thun nữ đen size l không,product
xin chào shop có sell đồ thể thao không,store_info
Chào shop có gần khu vui chơi không,store_info
Mình nên mua quà gì cho bạn trai,else
Cửa hàng có bán đồ phong cách cá tính không,store_info
Váy bé gái Uniqlo hoa nhí còn size M không,product
you like ăn cơm hay mì hơn,else
bạn có thích nghe rap hok,else
Giờ đóng cửa của cửa hàng là mấy giờ,store_info
Cửa hàng có bán đồ phong cách mùa đông không,store_info
shop có ship qua GrabExpress không,terms
áo thun bé gái xanh pastel có tay bèo hok,product
shop có đổi hàng qua fanpage không shop,terms
áo thun bé trai Nike đỏ USA còn size L không,product
Hello shop có gần khu vui chơi không,store_info
