name,category,subcategory,material,color,brand,style,bestseller,sizes,eventType,price,refundable,description
Áo trễ vai hoa nữ,Nữ,Áo thun,Cotton,Trắng,Zara,Thanh lịch,true,"S,M,L",Dạo phố,100,true,"Chiếc áo trễ vai nữ tính với họa tiết hoa rực rỡ, tạo nên phong cách nhẹ nhàng và thanh lịch. Thiết kế tay bồng giúp tôn dáng và mang lại cảm giác thoải mái khi mặc."
Áo polo cotton nam,Nam,Áo thun,Cotton,Hồng pastel,Lacoste,Trẻ trung,true,"M,L,XL",Hàng ngày,200,true,"Chiếc áo polo nam màu hồng pastel mang phong cách trẻ trung và hiện đại. Chất liệu cotton mềm mại giúp thấm hút mồ hôi tốt, phù hợp để mặc hàng ngày hoặc đi chơi."
Váy hoa công chúa bé gái,Trẻ em,Váy,Voan,Hồng,Carter's,Đáng yêu,true,"S,M,L,XL",Dự tiệc,220,true,"Chiếc váy xòe với họa tiết hoa nhí đầy đáng yêu, phù hợp cho bé gái trong các dịp đi chơi hoặc dự tiệc. Tay áo dài nhẹ nhàng và chất vải mềm mại giúp bé luôn thoải mái."
Áo thun puma cổ tròn cho nam,Nam,Áo thun,Cotton,Đen,Puma,Thể thao,true,"S,M,XXL",Hàng ngày,110,true,"Áo thun nam màu đen, thiết kế đơn giản nhưng mạnh mẽ với logo Puma cách điệu ở mặt trước. Chất vải cotton mềm mại, co giãn tốt, tạo cảm giác thoải mái khi mặc."
Áo thun nữ cổ tròn,Nữ,Áo thun,Cotton,Đen,Puma,Thể thao,true,"M,L,XL",Hàng ngày,130,true,"Áo thun nữ màu đen với thiết kế đơn giản nhưng đầy phong cách. Logo Puma màu cam nổi bật trên nền áo đen tạo điểm nhấn ấn tượng. Phù hợp với phong cách thể thao năng động."
Áo bé gái cổ tròn vải cotton,Trẻ em,Áo thun,Cotton,Hồng nhạt,Carter's,Đáng yêu,true,"S,L,XL",Hàng ngày,140,true,"Áo bé gái màu hồng nhạt, chất liệu cotton mềm mại và thoáng mát. Thiết kế đơn giản nhưng dễ thương, kết hợp với chân váy hoặc quần short tạo nên phong cách đáng yêu cho bé."
Quần tây nam dáng ôm,Nam,Quần dài,Polyester,Đen,Hugo Boss,Thanh lịch,false,"S,L,XL",Công sở,190,true,"Quần tây nam màu đen, thiết kế dáng ôm vừa vặn, phù hợp cho phong cách thanh lịch và chuyên nghiệp. Chất liệu cao cấp mang lại cảm giác thoải mái suốt cả ngày."
Áo thun polo nam vải cotton,Nam,Áo thun,Cotton,Trắng,Ralph Lauren,Năng động,false,"S,M,L,XL",Hàng ngày,140,true,"Áo thun nam màu trắng đơn giản, cổ tròn, chất liệu cotton mềm mại và thoáng mát. Phù hợp cho phong cách năng động hàng ngày."
Áo thun bé gái cổ tròn,Trẻ em,Áo thun,Cotton,Xanh nhạt,Carter's,Đáng yêu,false,"M,L,XL",Hàng ngày,100,true,"Áo thun bé gái màu xanh nhạt với họa tiết thêu đáng yêu. Chất liệu mềm mại, thoáng mát, phù hợp cho bé diện hàng ngày."
Quần jogger nam phong cách thể thao,Nam,Quần dài,Polyester,Xám,Adidas,Thể thao,false,"S,M,L,XL",Tập luyện,180,true,"Quần jogger nam màu xám, thiết kế hiện đại với túi hộp tiện lợi. Cạp chun co giãn giúp ôm sát thoải mái, phù hợp cho các hoạt động thể thao hoặc phong cách streetwear năng động."
Áo thun nam tay raglan cá tính,Nam,Áo thun,Cotton,Vàng kem & Nâu,Nike,Thể thao,false,"M,L,XL",Hàng ngày,130,true,"Áo thun nam tay raglan phối màu vàng kem và nâu đậm, tạo phong cách thể thao năng động. Chất liệu cotton mềm mại, thích hợp cho cả mùa hè lẫn thu."
Áo thun nam trơn cổ tròn,Nam,Áo thun,Cotton,Trắng,Uniqlo,Thanh lịch,false,"S,M,L,XL",Hàng ngày,120,true,"Áo thun nam màu trắng basic, kiểu dáng đơn giản nhưng thanh lịch. Chất liệu cotton cao cấp, mềm mại, dễ phối đồ và phù hợp với mọi hoàn cảnh."
Áo sơ mi nữ màu xanh pastel,Nữ,Áo sơ mi,Linen,Xanh pastel,Zara,Thanh lịch,false,"S,M,L,XL",Hàng ngày,180,true,"Áo sơ mi nữ tay ngắn với thiết kế tối giản, màu xanh pastel dịu nhẹ. Chất liệu vải mềm mại, thoáng khí, phù hợp cho phong cách thanh lịch hàng ngày."
Áo sơ mi bé trai xanh navy,Trẻ em,Áo sơ mi,Cotton,Xanh navy,H&M,Casual,false,"S,M,L,XL",Hàng ngày,150,true,"Áo sơ mi ngắn tay dành cho bé trai, màu xanh navy, dễ dàng phối hợp với nhiều trang phục khác nhau. Chất liệu thoáng mát, mang đến sự thoải mái suốt cả ngày."
Quần dài nam xanh navy phong cách,Nam,Quần dài,Polyester,Xanh navy,Adidas,Hiện đại,false,"S,M,L,XL",Hàng ngày,200,true,"Quần dài nam thiết kế dáng ôm hiện đại, màu xanh navy thanh lịch. Lưng chun co giãn có họa tiết sọc đỏ trắng nổi bật, phù hợp cho phong cách năng động và trẻ trung."
Áo cotton cổ tròn cho bé gái,Trẻ em,Áo thun,Cotton,Trắng,Uniqlo,Đơn giản,false,"S,M,L,XL",Hàng ngày,190,true,"Áo tay ngắn màu trắng với thiết kế cổ tròn, chất liệu cotton mềm mại, tạo cảm giác thoải mái cho bé. Kiểu dáng đơn giản nhưng tinh tế, phù hợp với nhiều phong cách phối đồ."
Quần âu dáng suông nam,Nam,Quần dài,Polyester,Đen,Adidas,Thanh lịch,false,"S,M,L,XL",Hàng ngày,150,true,"Quần dài màu đen thiết kế đơn giản, phong cách thể thao nhưng vẫn thanh lịch. Chất liệu mềm mại, co giãn nhẹ, mang lại sự thoải mái khi mặc. Phù hợp cho cả hoạt động hàng ngày và thể thao."
Áo thun cổ tròn bé trai,Trẻ em,Áo thun,Cotton,Trắng,Nike,Năng động,false,"S,M,L,XL",Hàng ngày,180,true,"Áo thun trắng tay ngắn với dòng chữ 'GOAL!' nổi bật trên ngực, thiết kế trẻ trung, năng động. Chất liệu cotton thoáng mát, phù hợp để bé mặc hàng ngày hoặc tham gia các hoạt động ngoài trời."
Áo thun cổ tròn cotton cho bé trai,Trẻ em,Áo thun,Cotton,Đen,Uniqlo,Đơn giản,false,"S,M,L,XL",Hàng ngày,160,true,"Chiếc áo thun màu đen đơn giản, thiết kế cổ tròn, tay ngắn, thoáng mát, phù hợp cho bé trai mặc hàng ngày hoặc khi vận động ngoài trời."
Quần Palazzo nữ kèm đai eo,Nữ,Quần dài,Lụa,Đen trắng,Zara,Cá tính,false,"S,M,L,XL",Dạo phố,190,true,"Quần palazzo dáng rộng với họa tiết đen trắng cá tính, chất vải nhẹ và thoải mái, đi kèm dây đai giúp tôn dáng, phù hợp để mặc hàng ngày hoặc dạo phố."
Áo khoác dáng slim fit có khóa kéo thoải mái cho nữ,Nữ,Áo khoác,Nỉ,Đỏ đô,Zara,Thanh lịch,false,"S,M,L,XL",Mùa lạnh,170,true,"Áo khoác nỉ dáng ôm với màu đỏ đô sang trọng, thiết kế khóa kéo tiện lợi, có túi hai bên, phù hợp cho mùa lạnh hoặc thời tiết se lạnh."
Quần Palazzo nữ màu xanh đậm,Nữ,Quần dài,Lụa,Xanh đậm,H&M,Thanh lịch,false,"S,M,L,XL",Hàng ngày,200,true,"Quần palazzo màu xanh đậm, ống rộng, chất liệu mềm mại giúp tạo cảm giác thoải mái và thanh lịch, phù hợp để mặc hàng ngày hoặc đi làm."
Áo thể thao bé trai màu đỏ USA,Trẻ em,Áo thun,Cotton,Đỏ,Nike,Năng động,false,"S,M,L,XL",Hoạt động ngoài trời,180,true,"Áo thể thao tanktop màu đỏ năng động với chữ 'USA' trước ngực, chất liệu cotton thấm hút mồ hôi tốt, phù hợp cho các bé trai thích hoạt động ngoài trời."
Áo sơ mi kẻ sọc bé trai họa tiết Pikachu,Trẻ em,Áo sơ mi,Cotton,Trắng đen,Uniqlo,Cá tính,false,"S,M,L,XL",Hàng ngày,210,true,"Áo sơ mi kẻ sọc trắng đen với họa tiết Pikachu đáng yêu trên ngực trái, thiết kế cổ bẻ, cài cúc trước, phù hợp cho bé trai yêu thích phong cách năng động và cá tính."
Áo thun cổ tròn bé gái màu hồng,Trẻ em,Áo thun,Cotton,Hồng pastel,H&M,Dễ thương,false,"S,M,L,XL",Hàng ngày,190,true,"Áo thun cổ tròn màu hồng pastel dễ thương, thiết kế dáng rộng thoải mái, phía trước in chữ tinh tế. Chất liệu cotton mềm mại, phù hợp cho bé gái mặc hàng ngày."
Áo khoác jeans nữ dáng rộng có khóa kéo,Nữ,Áo khoác,Jeans,Xanh nhạt,Zara,Cá tính,false,"S,M,L,XL",Hàng ngày,220,true,"Áo khoác jeans màu xanh nhạt phong cách cá tính, dáng rộng thoải mái. Thiết kế có khóa kéo trước và túi hộp hai bên, phù hợp để phối với nhiều trang phục thời trang."
Váy bé gái hoa nhí tay dài,Trẻ em,Váy,Voan,Hoa nhí,Uniqlo,Nữ tính,false,"S,M,L,XL",Dạo phố,200,true,"Váy bé gái dáng dài với họa tiết hoa nhí ngọt ngào, tay bồng nhẹ và thiết kế cổ vuông nữ tính. Chất liệu nhẹ nhàng, thoáng mát, thích hợp cho bé mặc dạo phố hoặc dự tiệc."
Áo khoác nam dáng slim fit màu vàng,Nam,Áo khoác,Nỉ,Vàng,Adidas,Năng động,false,"S,M,L,XL",Mùa lạnh,230,true,"Áo khoác nam dáng slim fit hiện đại, màu vàng nổi bật. Thiết kế có khóa kéo tiện lợi, chần bông giữ ấm tốt, thích hợp cho mùa lạnh."
Áo thun nữ đen Puma,Nữ,Áo thun,Cotton,Đen,Puma,Năng động,false,"S,M,L,XL",Hàng ngày,210,true,"Áo thun nữ tay ngắn màu đen, chất liệu cotton co giãn tốt. Phía trước in logo Puma màu hồng cá tính, phù hợp cho phong cách năng động."
Áo bé gái hồng sọc nhăn,Trẻ em,Áo thun,Cotton,Hồng pastel,Uniqlo,Dễ thương,false,"S,M,L,XL",Hàng ngày,240,true,"Áo bé gái màu hồng pastel với họa tiết sọc nhăn nhẹ, kiểu dáng tay ngắn đáng yêu. Phối hợp với chân váy trắng tạo phong cách nữ tính."
Áo thun nam Puma trắng,Nam,Áo thun,Cotton,Trắng,Puma,Thể thao,false,"S,M,L,XL",Hàng ngày,220,true,"Áo thun nam cổ tròn màu trắng, chất liệu cotton thoáng mát. Thiết kế in logo Puma xanh nổi bật, phù hợp cho phong cách thể thao và năng động."
Áo thun polo nam GAP phối màu,Nam,Áo thun,Cotton,Trắng - Xanh lá,GAP,Thanh lịch,false,"S,M,L,XL",Hàng ngày,250,true,"Áo polo nam tay dài phối màu trắng và xanh lá từ thương hiệu GAP. Chất liệu mềm mại, thoáng khí, thích hợp cho phong cách thanh lịch và năng động."
Áo bé gái xanh pastel tay bèo,Trẻ em,Áo thun,Cotton,Xanh pastel,Uniqlo,Dễ thương,false,"S,M,L,XL",Hàng ngày,100,true,"Áo bé gái màu xanh pastel với thiết kế tay bèo điệu đà. Kiểu dáng thắt nơ phía trước cùng họa tiết thêu đáng yêu, phù hợp cho phong cách ngọt ngào."
Áo thun nữ cổ tim màu xám,Nữ,Áo thun,Cotton,Xám,Uniqlo,Năng động,false,"S,M,L,XL",Hàng ngày,260,true,"Áo thun nữ cổ tim màu xám nhẹ nhàng, kiểu dáng rộng rãi thoải mái. Chất liệu cotton thoáng mát, phù hợp cho phong cách năng động và trẻ trung."
Áo khoác thể thao Nike xanh,Nữ,Áo khoác,Polyester,Xanh đậm,Nike,Thể thao,false,"S,M,L,XL",Tập luyện,240,true,"Áo khoác thể thao nữ Nike màu xanh đậm, thiết kế khóa kéo tiện lợi. Chất liệu mềm mại, thoáng khí, phù hợp cho tập luyện và phong cách năng động."
Áo khoác phao nữ hồng nhạt,Nữ,Áo khoác,Nylon,Hồng nhạt,Uniqlo,Giữ ấm,false,"S,M,L,XL",Mùa đông,270,true,"Áo khoác phao nữ màu hồng nhạt với lớp lót lông mềm mại giữ ấm. Thiết kế có mũ trùm đầu, phù hợp cho mùa đông lạnh giá."
Áo sơ mi nữ xanh nhạt,Nữ,Áo sơ mi,Cotton,Xanh nhạt,Zara,Thanh lịch,false,"S,M,L,XL",Công sở,250,true,"Áo sơ mi nữ màu xanh nhạt với kiểu dáng rộng rãi, tay ngắn thoải mái. Chất liệu cotton thoáng mát, phù hợp cho phong cách thanh lịch và nhẹ nhàng."
Áo sơ mi nam xanh navy,Nam,Áo sơ mi,Cotton,Xanh navy,Zara,Năng động,false,"S,M,L,XL",Hàng ngày,280,true,"Áo sơ mi nam ngắn tay màu xanh navy, thiết kế đơn giản nhưng tinh tế. Phù hợp cho phong cách trẻ trung và năng động."
Áo sơ mi nam trắng họa tiết,Nam,Áo sơ mi,Cotton,Trắng,Zara,Lịch lãm,false,"S,M,L,XL",Công sở,260,true,"Áo sơ mi nam dài tay màu trắng có họa tiết nhỏ, phong cách lịch lãm. Chất liệu mềm mại, phù hợp cho công sở và các dịp quan trọng."
Áo khoác nam đen trơn dáng ôm,Nam,Áo khoác,Polyester,Đen,Nike,Thể thao,false,"S,M,L,XL",Hàng ngày,290,true,"Áo khoác không tay với thiết kế thể thao, có mũ trùm đầu, túi kéo khóa tiện lợi. Chất liệu bền bỉ, phù hợp để phối đồ năng động."
Áo thun nam cổ tròn cotton tinh khiết,Nam,Áo thun,Cotton,Xanh đậm,Adidas,Năng động,false,"S,M,L,XL",Hàng ngày,270,true,"Áo thun tay ngắn nam với thiết kế đơn giản, màu xanh đậm, điểm nhấn là họa tiết hình ảnh chạy dọc phần thân áo. Chất vải mềm mại, thoải mái khi mặc."
Áo thun bé trai cổ tròn cotton tinh khiết,Trẻ em,Áo thun,Cotton,Trắng,Nike,Thể thao,false,"S,M,L,XL",Hàng ngày,300,true,"Áo thun trắng ngắn tay dành cho bé trai, in dòng chữ 'GOAL! GOAL! GOAL!' nổi bật, mang phong cách thể thao trẻ trung, năng động. Chất liệu mềm mại, phù hợp cho mọi hoạt động."
Quần jean dáng ôm cho bé,Trẻ em,Quần dài,Denim,Xanh,Levi's,Năng động,false,"S,M,L,XL",Hàng ngày,280,true,"Quần jean xanh dành cho trẻ em với thiết kế bo chun lưng tạo sự thoải mái. Chất liệu denim mềm mại, phù hợp cho các hoạt động hàng ngày."
